Bus,busmap
way/46235456-400,PL0 0
way/46584363-380,DE0 0
way/46615737-380,DE0 59
way/48057110-380,DE0 0
way/48428875-380,DE0 0
way/49577401-380,DE0 0
way/499165542-380,DE0 0
way/50898216-380,DE0 0
way/515358077-380,DE0 60
way/517421342-380,DE0 61
way/518455594-380,DE0 62
way/525964629-380,DE0 0
way/53378027-380,DE0 0
way/534238983-400,PL0 0
way/54359256-380,DE0 0
way/55069713-380,DE0 0
way/559702819-380,DE0 0
way/57727004-380,DE0 0
way/59026005-380,DE0 63
way/59707532-380,DE0 64
way/59925390-380,DE0 0
way/60032354-220,DE0 0
way/600395952-380,DE0 0
way/603661085-380,DE0 0
way/61918154-380,DE0 0
way/63114179-380,DE0 0
way/66038431-220,DE0 0
way/66051759-220,PL0 0
way/66161634-400,PL0 0
way/66764943-220,DE0 0
way/668348943-220,PL0 0
way/672738029-220,DE0 0
way/681264796-400,PL0 0
way/683227471-380,DE0 0
way/68549340-380,DE0 0
way/693112798-400,CZ0 0
way/69412925-400,DK0 0
way/69424173-400,DK0 0
way/726776987-220,PL0 0
way/72879943-220,PL0 0
way/76246159-380,DE0 0
way/77038371-380,DE0 0
way/77694901-220,DE0 0
way/77697810-380,DE0 0
way/78441561-380,DE0 0
way/79033485-400,PL0 0
way/796306640-380,DE0 0
way/797009308-380,DE0 0
way/810315511-380,DE0 0
way/82773910-400,DE0 0
way/829116805-380,DE0 0
way/851299584-380,DE0 65
way/85523877-380,DE0 0
way/86494356-400,PL0 0
way/871646309-380,DE0 0
way/87653464-400,DE0 0
way/87667718-220,PL0 0
way/87722999-380,DE0 0
way/87767098-380,DE0 0
way/883768276-380,DE0 0
way/883768277-380,DE0 0
way/883928228-380,DE0 0
way/883928229-380,DE0 0
way/88544449-220,PL0 0
way/889061694-220,DK0 0
way/88945213-380,DE0 0
way/89043564-380,DE0 0
way/89176939-220,DE0 0
way/89176956-220,DE0 0
way/89215122-220,DE0 0
way/90148336-220,DE0 0
way/907539360-380,DE0 0
way/91384044-400,PL0 0
way/91854336-380,DE0 0
way/92165128-380,DE0 0
way/93278553-220,DE0 0
way/93341407-380,DE0 0
way/940922557-380,DE0 66
way/941198517-380,DE0 67
way/941453716-380,DE0 68
way/941805476-380,DE0 69
way/942771541-380,DE0 70
way/943135226-380,DE0 71
way/943939310-380,DE0 72
way/946025110-380,DE0 73
way/946206351-380,DE0 74
way/946710698-220,DE0 75
way/946969736-380,DE0 0
way/947118608-380,DE0 76
way/948341123-380,DE0 77
way/951273401-380,DE0 0
way/951773852-380,DE0 0
way/952004951-380,DE0 0
way/952346322-380,DE0 0
way/953015049-380,DE0 0
way/953757606-380,DE0 0
way/953757608-380,DE0 0
way/954971276-220,DE0 0
way/955268863-380,DE0 0
way/95713495-400,DK0 0
way/957746797-380,DE0 0
way/95840891-400,DK0 0
way/95868396-400,DK0 0
way/97825259-380,DE0 0
way/979801144-380,DE0 0
way/98033206-400,DK0 0
way/98524305-400,DK0 0
way/98526640-400,DK0 0
way/98634956-220,PL0 0
way/99593626-400,PL0 0
